"","alphabet_size","tier_size","language_class","factor_width","threshold","index","split","model","train_size","OS","PS","OL"
"1",4,3,"TLTT",2,2,2,"LA","gru","Small",0.495395303748384,NA,0.999989999899999
"2",4,3,"TLTT",2,2,2,"SA","gru","Small",0.628341492857622,NA,0.999959998399936
"3",4,3,"TLTT",2,2,3,"LA","gru","Small",0.666666666666667,NA,0.458729554963865
"4",4,3,"TLTT",2,2,3,"LR","gru","Small",0.666666666666667,NA,0.628369502123283
"5",4,3,"TLTT",2,2,3,"SA","gru","Small",0.666666666666667,NA,0.46862626151216
"6",4,3,"TLTT",2,2,3,"SR","gru","Small",0.666666666666667,NA,0.587670957361223
"7",4,3,"TLTT",2,3,2,"LA","gru","Small",0.993373009170484,NA,0.663004006592788
"8",4,3,"TLTT",2,3,2,"LR","gru","Small",0.9957871463145,NA,0.664957939891186
"9",4,3,"TLTT",2,3,2,"SA","gru","Small",0.999859983197984,NA,0.650564438346488
"10",4,3,"TLTT",2,3,2,"SR","gru","Small",0.999990000099999,NA,0.64796668299853
"11",4,3,"TLTT",2,3,3,"LA","gru","Small",0.965773795107774,NA,0.666666666666667
"12",4,3,"TLTT",2,3,3,"LR","gru","Small",0.976952036376082,NA,0.666666666666667
"13",4,3,"TLTT",2,3,3,"SA","gru","Small",0.994772634492647,NA,0.666666666666667
"14",4,3,"TLTT",2,3,3,"SR","gru","Small",0.996431206013119,NA,0.666666666666667
"15",4,3,"TLTT",2,3,9,"LA","gru","Small",0.686573773862432,NA,0.50199716857114
"16",4,3,"TLTT",2,3,9,"LR","gru","Small",0.867223050558643,NA,0.650652850825549
"17",4,3,"TLTT",2,3,9,"SA","gru","Small",0.723419676057226,NA,0.789949810383424
"18",4,3,"TLTT",2,3,9,"SR","gru","Small",0.92161450141554,NA,0.898476607363426
"19",4,3,"TLTT",4,2,6,"LA","gru","Small",0.957304231284702,NA,0.961362827944895
"20",4,3,"TLTT",4,2,6,"LR","gru","Small",0.998971059808397,NA,0.999360409338024
"21",4,3,"TLTT",4,2,6,"SA","gru","Small",0.982926565556287,NA,0.987361769352291
"22",4,3,"TLTT",4,2,6,"SR","gru","Small",0.999350422225553,NA,0.999810036093142
"23",16,4,"TLTT",2,3,8,"LA","gru","Small",0.666666666666667,NA,0.955584204944792
"24",16,4,"TLTT",2,3,8,"LR","gru","Small",0.666666666666667,NA,0.971925435268544
"25",16,4,"TLTT",2,3,8,"SA","gru","Small",0.666666666666667,NA,0.993210006940882
"26",16,4,"TLTT",2,3,8,"SR","gru","Small",0.666666666666667,NA,0.996720588087812
"27",4,3,"TLTT",2,3,3,"SA","lstm","Small",0.205414949970571,NA,0.260000311414914
"28",4,3,"TLTT",2,3,3,"SR","lstm","Small",0.181598576721563,NA,0.411645010319467
"29",4,4,"coSL",4,1,8,"LA","lstm","Small",0.370645550232998,NA,0.415105477366639
"30",4,4,"coSL",4,1,8,"SA","lstm","Small",0.374538775377513,NA,0.441206791995149
"31",4,4,"coSP",2,1,6,"LA","lstm","Small",0,NA,0
"32",4,4,"coSP",2,1,6,"SA","lstm","Small",3.99984000639974e-05,NA,0.149110149110149
"33",4,4,"LTT",2,2,2,"LA","lstm","Small",0.0595197450779561,NA,0.446025713592626
"34",4,4,"SP",6,1,0,"LA","lstm","Small",3.99552501198657e-05,NA,0.369723181234654
"35",4,4,"SP",6,1,0,"LR","lstm","Small",0,NA,0.393289227444055
"36",4,4,"SP",6,1,0,"SA","lstm","Small",0,NA,0
"37",4,4,"SP",6,1,0,"SR","lstm","Small",0,NA,0
"38",4,4,"SP",6,1,2,"LA","lstm","Small",0.290240088846025,NA,0.0852076124567474
"39",4,4,"SP",6,1,2,"LR","lstm","Small",0.284163987138264,NA,0.0861762781568371
"40",4,4,"SP",6,1,2,"SA","lstm","Small",0.466961773869904,NA,0
"41",4,4,"SP",6,1,2,"SR","lstm","Small",0.480014907295258,NA,0
"42",4,4,"Zp",3,1,4,"LA","lstm","Small",0.666666666666667,NA,0
"43",4,4,"Zp",3,1,4,"LR","lstm","Small",0.666666666666667,NA,0
"44",4,4,"Zp",3,1,4,"SA","lstm","Small",0.666666666666667,NA,0
"45",4,4,"Zp",3,1,4,"SR","lstm","Small",0.666666666666667,NA,0
"46",4,4,"Zp",3,1,7,"LA","lstm","Small",0.667071445728469,NA,0
"47",4,4,"Zp",3,1,7,"LR","lstm","Small",0.666551082600375,NA,0
"48",16,16,"Zp",3,1,3,"LA","lstm","Small",0.560348014883458,NA,0.389266652043577
"49",16,16,"Zp",3,1,3,"LR","lstm","Small",0.5343386865126,NA,0.403873451220979
"50",16,16,"Zp",3,1,3,"SA","lstm","Small",0.544502277163305,NA,0
"51",16,16,"Zp",3,1,3,"SR","lstm","Small",0.552486475239284,NA,0
"52",16,16,"coSL",6,1,9,"SA","transformer","Small",0,NA,0.0465697765275824
