"data_type","alphabet_size","tier_size","language_class","factor_width","threshold","index","split","accuracy","precision","recall","f1","brier_score","model","train_size"
"OS",4,3,"TcoSL",2,1,0,"LA",0.85373,1,0.70746,0.828669485668771,0.128423518172745,"gru","Small"
"OS",4,3,"TcoSL",2,1,0,"LR",0.97073,1,0.94146,0.969847434405035,0.0278105757451149,"gru","Small"
"OS",4,3,"TcoSL",2,1,0,"SA",0.85386,1,0.70772,0.828847820485794,0.128310562391236,"gru","Small"
"OS",4,3,"TcoSL",2,1,0,"SR",0.94844,1,0.89688,0.945637046096748,0.0469787014429692,"gru","Small"
"OS",4,3,"TcoSL",2,1,1,"LA",0.99277,0.99977687174182,0.98576,0.992718959908962,0.0071890076328615,"gru","Small"
"OS",4,3,"TcoSL",2,1,1,"LR",0.99937,0.999799827851953,0.99894,0.999369728983463,0.00061866038730317,"gru","Small"
"OS",4,3,"TcoSL",2,1,1,"SA",0.99663,1,0.99326,0.996618604697832,0.00336674494445395,"gru","Small"
"OS",4,3,"TcoSL",2,1,1,"SR",0.9994,0.999979976773057,0.99882,0.999399651798043,0.000600016090759343,"gru","Small"
"OS",4,3,"TcoSL",2,1,2,"LA",0.941,1,0.882,0.937300743889479,0.056942990552494,"gru","Small"
"OS",4,3,"TcoSL",2,1,2,"LR",0.9967,0.999979867933645,0.99342,0.996689140380448,0.00313293824914198,"gru","Small"
"OS",4,3,"TcoSL",2,1,2,"SA",0.98226,0.999958532034004,0.96456,0.9819403440904,0.0168630801813082,"gru","Small"
"OS",4,3,"TcoSL",2,1,2,"SR",0.99803,0.999979921694609,0.99608,0.998026150994439,0.00181220665221985,"gru","Small"
"OS",4,3,"TcoSL",2,1,3,"LA",0.95058,0.998936971253931,0.90212,0.948063139752401,0.0464865347876595,"gru","Small"
"OS",4,3,"TcoSL",2,1,3,"LR",0.99805,0.999138121104007,0.99696,0.998047872180677,0.00169194102005054,"gru","Small"
"OS",4,3,"TcoSL",2,1,3,"SA",0.97323,0.999303635864863,0.94712,0.972512296049862,0.0250105438884498,"gru","Small"
"OS",4,3,"TcoSL",2,1,3,"SR",0.99735,0.999277210030719,0.99542,0.997344875609927,0.00239237162649458,"gru","Small"
"OS",4,3,"TcoSL",2,1,4,"LA",0.58344,1,0.16688,0.286027697792404,0.361514983893065,"gru","Small"
"OS",4,3,"TcoSL",2,1,4,"LR",0.83893,1,0.67786,0.808005435495214,0.141357217518576,"gru","Small"
"OS",4,3,"TcoSL",2,1,4,"SA",0.62006,1,0.24012,0.387252846498726,0.32999450015732,"gru","Small"
"OS",4,3,"TcoSL",2,1,4,"SR",0.85078,1,0.70156,0.824608006770258,0.131159105155402,"gru","Small"
"OS",4,3,"TcoSL",2,1,5,"LA",0.99355,1,0.9871,0.993508127421871,0.00626591864630848,"gru","Small"
"OS",4,3,"TcoSL",2,1,5,"LR",0.99988,1,0.99976,0.999879985598272,0.000118531575953506,"gru","Small"
"OS",4,3,"TcoSL",2,1,5,"SA",0.99659,1,0.99318,0.996578332112504,0.00330955574254663,"gru","Small"
"OS",4,3,"TcoSL",2,1,5,"SR",0.99984,1,0.99968,0.999839974395903,0.000159900205965899,"gru","Small"
"OS",4,3,"TcoSL",2,1,6,"LA",0.83637,0.999821688608874,0.67286,0.804384989659171,0.159138464522451,"gru","Small"
"OS",4,3,"TcoSL",2,1,6,"LR",0.99778,0.999859415167095,0.9957,0.997775372775373,0.00223962849394366,"gru","Small"
"OS",4,3,"TcoSL",2,1,6,"SA",0.85441,0.999887161838134,0.7089,0.82961766667837,0.141622096745917,"gru","Small"
"OS",4,3,"TcoSL",2,1,6,"SR",0.99195,0.999979673557331,0.98392,0.991884835226872,0.0079209536950969,"gru","Small"
"OS",4,3,"TcoSL",2,1,7,"LA",0.68578,0.976603386351975,0.38068,0.547819830191394,0.286964060806007,"gru","Small"
"OS",4,3,"TcoSL",2,1,7,"LR",0.97386,0.99188257764491,0.95554,0.973372178306577,0.02617219101003,"gru","Small"
"OS",4,3,"TcoSL",2,1,7,"SA",0.70046,0.970828635851184,0.41334,0.579817080013467,0.273659853324802,"gru","Small"
"OS",4,3,"TcoSL",2,1,7,"SR",0.94734,0.988917548308123,0.90482,0.945001462171534,0.0498118774218937,"gru","Small"
"OS",4,3,"TcoSL",2,1,8,"LA",0.99307,0.986329473497327,1,0.993117694377961,0.00693,"gru","Small"
"OS",4,3,"TcoSL",2,1,8,"LR",0.9972,0.994431185361973,1,0.997207818109294,0.0028,"gru","Small"
"OS",4,3,"TcoSL",2,1,8,"SA",0.993,0.986193293885602,1,0.99304865938431,0.007,"gru","Small"
"OS",4,3,"TcoSL",2,1,8,"SR",0.99694,0.993917226573371,1,0.996949335034794,0.00306,"gru","Small"
"OS",4,3,"TcoSL",2,1,9,"LA",0.5,0.5,1,0.666666666666667,0.308741989383448,"gru","Small"
"OS",4,3,"TcoSL",2,1,9,"LR",0.5,0.5,1,0.666666666666667,0.302906487524246,"gru","Small"
"OS",4,3,"TcoSL",2,1,9,"SA",0.5,0.5,1,0.666666666666667,0.305827903204119,"gru","Small"
"OS",4,3,"TcoSL",2,1,9,"SR",0.5,0.5,1,0.666666666666667,0.299466307686327,"gru","Small"
"OS",4,3,"TcoSL",4,1,0,"LA",0.82686,0.943741515069237,0.69516,0.800598871357826,0.171248242523691,"gru","Small"
"OS",4,3,"TcoSL",4,1,0,"LR",0.86116,0.982344142315295,0.73554,0.84121320249777,0.137495142001486,"gru","Small"
"OS",4,3,"TcoSL",4,1,0,"SA",0.92725,0.932868634880752,0.92076,0.926774768245916,0.071273966110557,"gru","Small"
"OS",4,3,"TcoSL",4,1,0,"SR",0.96337,0.984585137311497,0.94148,0.962550224412387,0.0358851504740106,"gru","Small"
"OS",4,3,"TcoSL",4,1,1,"LA",0.5,NA,0,0,0.25240195463492,"gru","Small"
"OS",4,3,"TcoSL",4,1,1,"LR",0.5,NA,0,0,0.252401955026293,"gru","Small"
"OS",4,3,"TcoSL",4,1,1,"SA",0.5,NA,0,0,0.252401957481796,"gru","Small"
"OS",4,3,"TcoSL",4,1,1,"SR",0.5,NA,0,0,0.252401957474818,"gru","Small"
"OS",4,3,"TcoSL",4,1,2,"LA",0.5,NA,0,0,0.252084282066498,"gru","Small"
"OS",4,3,"TcoSL",4,1,2,"LR",0.5,NA,0,0,0.252084281941364,"gru","Small"
"OS",4,3,"TcoSL",4,1,2,"SA",0.5,NA,0,0,0.252084281505029,"gru","Small"
"OS",4,3,"TcoSL",4,1,2,"SR",0.5,NA,0,0,0.252084281426189,"gru","Small"
"OS",4,3,"TcoSL",4,1,3,"LA",0.5,NA,0,0,0.25202150471364,"gru","Small"
"OS",4,3,"TcoSL",4,1,3,"LR",0.5,NA,0,0,0.252020847471362,"gru","Small"
"OS",4,3,"TcoSL",4,1,3,"SA",0.5,NA,0,0,0.252019736987606,"gru","Small"
"OS",4,3,"TcoSL",4,1,3,"SR",0.5,NA,0,0,0.252015738335862,"gru","Small"
"OS",4,3,"TcoSL",4,1,4,"LA",0.80704,1,0.61408,0.760904044409199,0.1929260796127,"gru","Small"
"OS",4,3,"TcoSL",4,1,4,"LR",0.98148,1,0.96296,0.981130537555528,0.0184876868066113,"gru","Small"
"OS",4,3,"TcoSL",4,1,4,"SA",0.82914,1,0.65828,0.793931061099452,0.170697495890414,"gru","Small"
"OS",4,3,"TcoSL",4,1,4,"SR",0.98814,1,0.97628,0.987997652154553,0.0118362854898204,"gru","Small"
"OS",4,3,"TcoSL",4,1,5,"LA",0.82057,1,0.64114,0.781334925722364,0.179385729335119,"gru","Small"
"OS",4,3,"TcoSL",4,1,5,"LR",0.98963,1,0.97926,0.989521336256985,0.0103689869662403,"gru","Small"
"OS",4,3,"TcoSL",4,1,5,"SA",0.87253,1,0.74506,0.853907602030876,0.127416756252292,"gru","Small"
"OS",4,3,"TcoSL",4,1,5,"SR",0.99159,1,0.98318,0.991518672031787,0.00840913897732665,"gru","Small"
"OS",4,3,"TcoSL",4,1,6,"LA",0.79489,1,0.58978,0.741964296946747,0.200681930084669,"gru","Small"
"OS",4,3,"TcoSL",4,1,6,"LR",0.98464,1,0.96928,0.98440038999025,0.013899593793787,"gru","Small"
"OS",4,3,"TcoSL",4,1,6,"SA",0.83615,1,0.6723,0.804042336901274,0.153331369262138,"gru","Small"
"OS",4,3,"TcoSL",4,1,6,"SR",0.9831,1,0.9662,0.982809480215644,0.0138335998773401,"gru","Small"
"OS",4,3,"TcoSL",4,1,7,"LA",0.71332,0.673526827839781,0.82798,0.742809466563795,0.251512478386136,"gru","Small"
"OS",4,3,"TcoSL",4,1,7,"LR",0.81071,0.733922575399395,0.97484,0.837397885115924,0.164914937352979,"gru","Small"
"OS",4,3,"TcoSL",4,1,7,"SA",0.78674,0.752946365561044,0.85354,0.800093738282715,0.19287744107817,"gru","Small"
"OS",4,3,"TcoSL",4,1,7,"SR",0.8698,0.799617578428831,0.98692,0.883450300773417,0.115373260016221,"gru","Small"
"OS",4,3,"TcoSL",4,1,8,"LA",0.98024,0.999251497005988,0.9612,0.979856467134236,0.0195485363519672,"gru","Small"
"OS",4,3,"TcoSL",4,1,8,"LR",0.99836,0.999639076034649,0.99708,0.99835789810958,0.00159143577486407,"gru","Small"
"OS",4,3,"TcoSL",4,1,8,"SA",0.9813,0.999750799518212,0.96284,0.980948305723659,0.0185097404861169,"gru","Small"
"OS",4,3,"TcoSL",4,1,8,"SR",0.99912,0.99989984375626,0.99834,0.99911931306419,0.000871939673144145,"gru","Small"
"OS",4,3,"TcoSL",4,1,9,"LA",0.74323,0.815318001503798,0.62892,0.710090437963622,0.222282734857852,"gru","Small"
"OS",4,3,"TcoSL",4,1,9,"LR",0.9219,0.876132230226089,0.98274,0.926379095810867,0.0586434850891216,"gru","Small"
"OS",4,3,"TcoSL",4,1,9,"SA",0.76569,0.919718176360936,0.5822,0.713034745440962,0.214750786372485,"gru","Small"
"OS",4,3,"TcoSL",4,1,9,"SR",0.96698,0.953572399860134,0.98176,0.967460927491673,0.0261117555410337,"gru","Small"
"OS",4,3,"TcoSL",6,1,0,"LA",0.63298,0.578137118950807,0.98392,0.728322501369417,0.366227222786896,"gru","Small"
