alph,tier,class,k,j,i,network_type,train_set_size,test_type,tp,fp,tn,fn,tpr,fpr,precision,fscore,accuracy,auc,brier
04,03,TcoSL,2,1,0,gru,Small,LA,35373,0,50000,14627,0.70746,0.0,1.0,0.8286694856687712,0.85373,0.85376,0.12842351817274494
04,03,TcoSL,2,1,0,gru,Small,LR,47073,0,50000,2927,0.94146,0.0,1.0,0.9698474344050354,0.97073,0.97073,0.027810575745114884
04,03,TcoSL,2,1,0,gru,Small,SA,35386,0,50000,14614,0.70772,0.0,1.0,0.828847820485794,0.85386,0.85386,0.1283105623912356
04,03,TcoSL,2,1,0,gru,Small,SR,44844,0,50000,5156,0.89688,0.0,1.0,0.9456370460967484,0.94844,0.94844,0.04697870144296923
04,03,TcoSL,2,1,1,gru,Small,LA,49288,11,49989,712,0.98576,0.00022,0.9997768717418203,0.9927189599089619,0.99277,0.99294,0.007189007632861498
04,03,TcoSL,2,1,1,gru,Small,LR,49947,10,49990,53,0.99894,0.0002,0.9997998278519526,0.9993697289834629,0.99937,0.99941,0.0006186603873031696
04,03,TcoSL,2,1,1,gru,Small,SA,49663,0,50000,337,0.99326,0.0,1.0,0.9966186046978317,0.99663,0.99667,0.0033667449444539513
04,03,TcoSL,2,1,1,gru,Small,SR,49941,1,49999,59,0.99882,2e-05,0.9999799767730567,0.9993996517980429,0.9994,0.9994,0.0006000160907593425
04,03,TcoSL,2,1,2,gru,Small,LA,44100,0,50000,5900,0.882,0.0,1.0,0.9373007438894793,0.941,0.94955,0.05694299055249399
04,03,TcoSL,2,1,2,gru,Small,LR,49671,1,49999,329,0.99342,2e-05,0.9999798679336447,0.9966891403804479,0.9967,0.99741,0.003132938249141979
04,03,TcoSL,2,1,2,gru,Small,SA,48228,2,49998,1772,0.96456,4e-05,0.9999585320340038,0.9819403440904001,0.98226,0.98584,0.0168630801813082
04,03,TcoSL,2,1,2,gru,Small,SR,49804,1,49999,196,0.99608,2e-05,0.9999799216946089,0.9980261509944391,0.99803,0.99855,0.0018122066522198543
04,03,TcoSL,2,1,3,gru,Small,LA,45106,48,49952,4894,0.90212,0.00096,0.998936971253931,0.9480631397524014,0.95058,0.96609,0.04648653478765953
04,03,TcoSL,2,1,3,gru,Small,LR,49848,43,49957,152,0.99696,0.00086,0.9991381211040067,0.9980478721806769,0.99805,0.9991,0.0016919410200505387
04,03,TcoSL,2,1,3,gru,Small,SA,47356,33,49967,2644,0.94712,0.00066,0.9993036358648631,0.9725122960498619,0.97323,0.9825,0.025010543888449838
04,03,TcoSL,2,1,3,gru,Small,SR,49771,36,49964,229,0.99542,0.00072,0.9992772100307186,0.9973448756099271,0.99735,0.99864,0.002392371626494585
04,03,TcoSL,2,1,4,gru,Small,LA,8344,0,50000,41656,0.16688,0.0,1.0,0.28602769779240367,0.58344,0.58344,0.361514983893065
04,03,TcoSL,2,1,4,gru,Small,LR,33893,0,50000,16107,0.67786,0.0,1.0,0.8080054354952142,0.83893,0.83893,0.14135721751857555
04,03,TcoSL,2,1,4,gru,Small,SA,12006,0,50000,37994,0.24012,0.0,1.0,0.38725284649872593,0.62006,0.62006,0.32999450015732024
04,03,TcoSL,2,1,4,gru,Small,SR,35078,0,50000,14922,0.70156,0.0,1.0,0.8246080067702579,0.85078,0.85078,0.1311591051554018
04,03,TcoSL,2,1,5,gru,Small,LA,49355,0,50000,645,0.9871,0.0,1.0,0.9935081274218711,0.99355,0.99429,0.006265918646308481
04,03,TcoSL,2,1,5,gru,Small,LR,49988,0,50000,12,0.99976,0.0,1.0,0.9998799855982718,0.99988,0.9999,0.00011853157595350632
04,03,TcoSL,2,1,5,gru,Small,SA,49659,0,50000,341,0.99318,0.0,1.0,0.9965783321125037,0.99659,0.99691,0.003309555742546626
04,03,TcoSL,2,1,5,gru,Small,SR,49984,0,50000,16,0.99968,0.0,1.0,0.9998399743959033,0.99984,0.99984,0.00015990020596589897
04,03,TcoSL,2,1,6,gru,Small,LA,33643,6,49994,16357,0.67286,0.00012,0.999821688608874,0.804384989659171,0.83637,0.83669,0.1591384645224509
04,03,TcoSL,2,1,6,gru,Small,LR,49785,7,49993,215,0.9957,0.00014,0.9998594151670951,0.9977753727753728,0.99778,0.99783,0.0022396284939436555
04,03,TcoSL,2,1,6,gru,Small,SA,35445,4,49996,14555,0.7089,8e-05,0.9998871618381336,0.8296176666783696,0.85441,0.85472,0.14162209674591694
04,03,TcoSL,2,1,6,gru,Small,SR,49196,1,49999,804,0.98392,2e-05,0.9999796735573308,0.9918848352268718,0.99195,0.99197,0.007920953695096898
04,03,TcoSL,2,1,7,gru,Small,LA,19034,456,49544,30966,0.38068,0.00912,0.9766033863519754,0.5478198301913945,0.68578,0.68383,0.2869640608060073
04,03,TcoSL,2,1,7,gru,Small,LR,47777,391,49609,2223,0.95554,0.00782,0.9918825776449095,0.9733721783065765,0.97386,0.97752,0.026172191010029988
04,03,TcoSL,2,1,7,gru,Small,SA,20667,621,49379,29333,0.41334,0.01242,0.9708286358511837,0.5798170800134665,0.70046,0.69849,0.27365985332480164
04,03,TcoSL,2,1,7,gru,Small,SR,45241,507,49493,4759,0.90482,0.01014,0.9889175483081227,0.9450014621715336,0.94734,0.95147,0.04981187742189373
04,03,TcoSL,2,1,8,gru,Small,LA,50000,693,49307,0,1.0,0.01386,0.986329473497327,0.9931176943779607,0.99307,0.99307,0.00693
04,03,TcoSL,2,1,8,gru,Small,LR,50000,280,49720,0,1.0,0.0056,0.994431185361973,0.9972078181092939,0.9972,0.9972,0.0028
04,03,TcoSL,2,1,8,gru,Small,SA,50000,700,49300,0,1.0,0.014,0.9861932938856016,0.9930486593843099,0.993,0.993,0.007
04,03,TcoSL,2,1,8,gru,Small,SR,50000,306,49694,0,1.0,0.00612,0.993917226573371,0.9969493350347935,0.99694,0.99694,0.00306
04,03,TcoSL,2,1,9,gru,Small,LA,50000,50000,0,0,1.0,1.0,0.5,0.6666666666666666,0.5,0.80447,0.30874198938344843
04,03,TcoSL,2,1,9,gru,Small,LR,50000,50000,0,0,1.0,1.0,0.5,0.6666666666666666,0.5,0.91543,0.3029064875242463
04,03,TcoSL,2,1,9,gru,Small,SA,50000,50000,0,0,1.0,1.0,0.5,0.6666666666666666,0.5,0.80074,0.30582790320411896
04,03,TcoSL,2,1,9,gru,Small,SR,50000,50000,0,0,1.0,1.0,0.5,0.6666666666666666,0.5,0.91278,0.29946630768632726
04,03,TcoSL,4,1,0,gru,Small,LA,34758,2072,47928,15242,0.69516,0.04144,0.943741515069237,0.8005988713578256,0.82686,0.83298,0.17124824252369075
04,03,TcoSL,4,1,0,gru,Small,LR,36777,661,49339,13223,0.73554,0.01322,0.9823441423152947,0.8412132024977699,0.86116,0.86628,0.13749514200148646
04,03,TcoSL,4,1,0,gru,Small,SA,46038,3313,46687,3962,0.92076,0.06626,0.9328686348807521,0.926774768245916,0.92725,0.93324,0.07127396611055697
04,03,TcoSL,4,1,0,gru,Small,SR,47074,737,49263,2926,0.94148,0.01474,0.9845851373114973,0.9625502244123871,0.96337,0.96676,0.035885150474010565
04,03,TcoSL,4,1,1,gru,Small,LA,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.25240195463492016
04,03,TcoSL,4,1,1,gru,Small,LR,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.252401955026293
04,03,TcoSL,4,1,1,gru,Small,SA,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2524019574817961
04,03,TcoSL,4,1,1,gru,Small,SR,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2524019574748182
04,03,TcoSL,4,1,2,gru,Small,LA,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2520842820664977
04,03,TcoSL,4,1,2,gru,Small,LR,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2520842819413641
04,03,TcoSL,4,1,2,gru,Small,SA,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2520842815050293
04,03,TcoSL,4,1,2,gru,Small,SR,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2520842814261887
04,03,TcoSL,4,1,3,gru,Small,LA,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2520215047136396
04,03,TcoSL,4,1,3,gru,Small,LR,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.25202084747136183
04,03,TcoSL,4,1,3,gru,Small,SA,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.25201973698760577
04,03,TcoSL,4,1,3,gru,Small,SR,0,0,50000,50000,0.0,0.0,NA,0.0,0.5,0.5,0.2520157383358619
04,03,TcoSL,4,1,4,gru,Small,LA,30704,0,50000,19296,0.61408,0.0,1.0,0.760904044409199,0.80704,0.80727,0.19292607961270045
04,03,TcoSL,4,1,4,gru,Small,LR,48148,0,50000,1852,0.96296,0.0,1.0,0.9811305375555284,0.98148,0.98164,0.018487686806611274
04,03,TcoSL,4,1,4,gru,Small,SA,32914,0,50000,17086,0.65828,0.0,1.0,0.7939310610994524,0.82914,0.82969,0.1706974958904137
04,03,TcoSL,4,1,4,gru,Small,SR,48814,0,50000,1186,0.97628,0.0,1.0,0.987997652154553,0.98814,0.98826,0.011836285489820396
04,03,TcoSL,4,1,5,gru,Small,LA,32057,0,50000,17943,0.64114,0.0,1.0,0.7813349257223637,0.82057,0.82079,0.17938572933511868
04,03,TcoSL,4,1,5,gru,Small,LR,48963,0,50000,1037,0.97926,0.0,1.0,0.9895213362569849,0.98963,0.98964,0.010368986966240293
04,03,TcoSL,4,1,5,gru,Small,SA,37253,0,50000,12747,0.74506,0.0,1.0,0.8539076020308757,0.87253,0.87271,0.12741675625229185
04,03,TcoSL,4,1,5,gru,Small,SR,49159,0,50000,841,0.98318,0.0,1.0,0.9915186720317873,0.99159,0.99159,0.008409138977326647
04,03,TcoSL,4,1,6,gru,Small,LA,29489,0,50000,20511,0.58978,0.0,1.0,0.7419642969467474,0.79489,0.8101,0.20068193008466872
04,03,TcoSL,4,1,6,gru,Small,LR,48464,0,50000,1536,0.96928,0.0,1.0,0.9844003899902503,0.98464,0.98985,0.01389959379378705
04,03,TcoSL,4,1,6,gru,Small,SA,33615,0,50000,16385,0.6723,0.0,1.0,0.8040423369012737,0.83615,0.87185,0.15333136926213795
04,03,TcoSL,4,1,6,gru,Small,SR,48310,0,50000,1690,0.9662,0.0,1.0,0.9828094802156444,0.9831,0.99407,0.013833599877340064
04,03,TcoSL,4,1,7,gru,Small,LA,41399,20067,29933,8601,0.82798,0.40134,0.6735268278397814,0.7428094665637952,0.71332,0.82156,0.25151247838613594
04,03,TcoSL,4,1,7,gru,Small,LR,48742,17671,32329,1258,0.97484,0.35342,0.7339225753993946,0.8373978851159235,0.81071,0.97108,0.16491493735297885
04,03,TcoSL,4,1,7,gru,Small,SA,42677,14003,35997,7323,0.85354,0.28006,0.7529463655610444,0.8000937382827147,0.78674,0.88296,0.19287744107817037
04,03,TcoSL,4,1,7,gru,Small,SR,49346,12366,37634,654,0.98692,0.24732,0.7996175784288307,0.8834503007734174,0.8698,0.99014,0.11537326001622096
04,03,TcoSL,4,1,8,gru,Small,LA,48060,36,49964,1940,0.9612,0.00072,0.999251497005988,0.9798564671342358,0.98024,0.98046,0.01954853635196725
04,03,TcoSL,4,1,8,gru,Small,LR,49854,18,49982,146,0.99708,0.00036,0.9996390760346487,0.9983578981095803,0.99836,0.99854,0.0015914357748640733
04,03,TcoSL,4,1,8,gru,Small,SA,48142,12,49988,1858,0.96284,0.00024,0.9997507995182124,0.9809483057236588,0.9813,0.98138,0.01850974048611688
04,03,TcoSL,4,1,8,gru,Small,SR,49917,5,49995,83,0.99834,0.0001,0.9998998437562597,0.9991193130641901,0.99912,0.99915,0.0008719396731441453
04,03,TcoSL,4,1,9,gru,Small,LA,31446,7123,42877,18554,0.62892,0.14246,0.8153180015037984,0.7100904379636216,0.74323,0.77918,0.22228273485785158
04,03,TcoSL,4,1,9,gru,Small,LR,49137,6947,43053,863,0.98274,0.13894,0.8761322302260894,0.9263790958108669,0.9219,0.97952,0.058643485089121615
04,03,TcoSL,4,1,9,gru,Small,SA,29110,2541,47459,20890,0.5822,0.05082,0.9197181763609364,0.7130347454409621,0.76569,0.78642,0.21475078637248454
04,03,TcoSL,4,1,9,gru,Small,SR,49088,2390,47610,912,0.98176,0.0478,0.9535723998601344,0.9674609274916731,0.96698,0.98879,0.02611175554103369
04,03,TcoSL,6,1,0,gru,Small,LA,49196,35898,14102,804,0.98392,0.71796,0.5781371189508073,0.7283225013694169,0.63298,0.63604,0.3662272227868957
04,03,TcoSL,6,1,0,gru,Small,LR,49433,3873,46127,567,0.98866,0.07746,0.9273440138070761,0.9570208893965501,0.9556,0.95685,0.04416176516888093
04,03,TcoSL,6,1,0,gru,Small,SA,49789,38660,11340,211,0.99578,0.7732,0.5629119605648453,0.7192395755837889,0.61129,0.61396,0.3881001413579365
04,03,TcoSL,6,1,0,gru,Small,SR,49865,3026,46974,135,0.9973,0.06052,0.9427879979580647,0.9692781681585367,0.96839,0.96897,0.03149756052453592
04,03,TcoSL,6,1,1,gru,Small,LA,40529,12185,37815,9471,0.81058,0.2437,0.7688469856205182,0.7891621395330725,0.78344,0.79673,0.21068403422762852
04,03,TcoSL,6,1,1,gru,Small,LR,40908,3019,46981,9092,0.81816,0.06038,0.931272338197464,0.8710594397776997,0.87889,0.89318,0.11716652139742913
04,03,TcoSL,6,1,1,gru,Small,SA,49551,14824,35176,449,0.99102,0.29648,0.7697242718446602,0.8664655737704918,0.84727,0.85535,0.15055037887652983
04,03,TcoSL,6,1,1,gru,Small,SR,49598,2279,47721,402,0.99196,0.04558,0.9560691635985119,0.973683952216889,0.97319,0.97562,0.026207714491097992
04,03,TcoSL,6,1,2,gru,Small,LA,48911,23793,26207,1089,0.97822,0.47586,0.6727415272887324,0.7972193245533968,0.75118,0.81489,0.230983559068337
04,03,TcoSL,6,1,2,gru,Small,LR,48919,8615,41385,1081,0.97838,0.1723,0.8502624535057531,0.9098331690442093,0.90304,0.9399,0.08760330046491388
04,03,TcoSL,6,1,2,gru,Small,SA,49605,24103,25897,395,0.9921,0.48206,0.6729934335485972,0.8019691531671355,0.75502,0.83324,0.22600242498593537
04,03,TcoSL,6,1,2,gru,Small,SR,49674,5866,44134,326,0.99348,0.11732,0.8943824270795823,0.9413303013075611,0.93808,0.96741,0.05653562318469327
04,03,TcoSL,6,1,3,gru,Small,LA,42314,26742,23258,7686,0.84628,0.53484,0.6127490732159406,0.7108251579088832,0.65572,0.67221,0.3357286688623231
04,03,TcoSL,6,1,3,gru,Small,LR,43323,6226,43774,6677,0.86646,0.12452,0.8743466063896345,0.8703854383268541,0.87097,0.88469,0.1247446749593358
04,03,TcoSL,6,1,3,gru,Small,SA,48655,32857,17143,1345,0.9731,0.65714,0.5969059770340563,0.7399324776446256,0.65798,0.68134,0.3356691798659505
04,03,TcoSL,6,1,3,gru,Small,SR,48984,4869,45131,1016,0.97968,0.09738,0.9095872096262047,0.9433333654299828,0.94115,0.94955,0.05687948773114348
04,03,TcoSL,6,1,4,gru,Small,LA,29724,0,50000,20276,0.59448,0.0,1.0,0.7456725703677688,0.79724,0.80723,0.2003709449603273
04,03,TcoSL,6,1,4,gru,Small,LR,49384,0,50000,616,0.98768,0.0,1.0,0.9938018192063108,0.99384,0.99445,0.006048599748294477
04,03,TcoSL,6,1,4,gru,Small,SA,31270,2,49998,18730,0.6254,4e-05,0.9999360450243029,0.7695147160153558,0.81268,0.81434,0.1869386571564089
04,03,TcoSL,6,1,4,gru,Small,SR,49624,0,50000,376,0.99248,0.0,1.0,0.9962258090419979,0.99624,0.99628,0.003759374539886934
04,03,TcoSL,6,1,5,gru,Small,LA,31526,0,50000,18474,0.63052,0.0,1.0,0.7733974437602728,0.81526,0.82069,0.1824149106039049
04,03,TcoSL,6,1,5,gru,Small,LR,49120,0,50000,880,0.9824,0.0,1.0,0.9911218724778047,0.9912,0.99158,0.008680245765241911
04,03,TcoSL,6,1,5,gru,Small,SA,32262,0,50000,17738,0.64524,0.0,1.0,0.7843718849529552,0.82262,0.82876,0.17533501629121973
04,03,TcoSL,6,1,5,gru,Small,SR,49142,0,50000,858,0.98284,0.0,1.0,0.9913457465050131,0.99142,0.99193,0.008406027746732676
04,03,TcoSL,6,1,6,gru,Small,LA,28388,0,50000,21612,0.56776,0.0,1.0,0.7242945348777874,0.78388,0.78724,0.2153880615451084
04,03,TcoSL,6,1,6,gru,Small,LR,48762,0,50000,1238,0.97524,0.0,1.0,0.9874648144023005,0.98762,0.98799,0.012281547731075461
04,03,TcoSL,6,1,6,gru,Small,SA,29141,0,50000,20859,0.58282,0.0,1.0,0.7364324433605842,0.79141,0.79642,0.20769339853618946
04,03,TcoSL,6,1,6,gru,Small,SR,48819,0,50000,1181,0.97638,0.0,1.0,0.9880488570011839,0.98819,0.98839,0.011772840751237827
04,03,TcoSL,6,1,7,gru,Small,LA,23596,0,50000,26404,0.47192,0.0,1.0,0.6412305016576988,0.73596,0.73958,0.26342394278003484
04,03,TcoSL,6,1,7,gru,Small,LR,49101,0,50000,899,0.98202,0.0,1.0,0.9909284467361581,0.99101,0.99171,0.008857568223550254
