alph,tier,class,k,j,i,network_type,train_set_size,test_type,tp,fp,tn,fn,tpr,fpr,precision,fscore,accuracy,auc,brier
16,04,TLT,6,1,5,lstm,Mid,LA,49986,18410,31590,14,0.99972,0.3682,0.7308322124100824,0.8443866346836042,0.81576,0.87205,0.16593882369425114
16,04,TLT,6,1,5,lstm,Mid,SR,50000,107,49893,0,1.0,0.00214,0.9978645698205839,0.9989311436762663,0.99893,0.9997,0.0008525661555025917
16,04,TLT,6,1,5,lstm,Mid,SA,50000,22561,27439,0,1.0,0.45122,0.6890753986301181,0.8159202356377641,0.77439,0.87956,0.19334829882640195
16,04,TLT,6,1,5,lstm,Mid,LR,49992,92,49908,8,0.99984,0.00184,0.998163086015494,0.9990008392949922,0.999,0.9996,0.0009465554017980427
16,07,TcoSL,4,1,2,transformer,Mid,LA,38531,28884,21116,11469,0.77062,0.57768,0.5715493584513832,0.6563215943448452,0.59647,0.63392,0.309497743457019
16,07,TcoSL,4,1,2,transformer,Mid,SR,47047,4938,45062,2953,0.94094,0.09876,0.905011060882947,0.9226258763543659,0.92109,0.96509,0.06189214669885489
16,07,TcoSL,4,1,2,transformer,Mid,SA,46783,27358,22642,3217,0.93566,0.54716,0.631000391146599,0.7537074777873547,0.69425,0.74649,0.24903122885828577
16,07,TcoSL,4,1,2,transformer,Mid,LR,39405,10357,39643,10595,0.7881,0.20714,0.7918692978578031,0.7899801527635774,0.79048,0.86348,0.16087553058175424
04,04,SL,2,1,7,simple,Large,LA,48973,34335,15665,1027,0.97946,0.6867,0.5878547078311807,0.7347345995739191,0.64638,0.76937,0.31510704552218743
04,04,SL,2,1,7,simple,Large,SR,49935,1241,48759,65,0.9987,0.02482,0.9757503517273722,0.9870918004269787,0.98694,0.9975,0.010379377243258745
04,04,SL,2,1,7,simple,Large,SA,49929,21497,28503,71,0.99858,0.42994,0.6990311651219444,0.8223774150511423,0.78432,0.9458,0.17422149972195614
04,04,SL,2,1,7,simple,Large,LR,49043,3171,46829,957,0.98086,0.06342,0.9392691615275597,0.9596141428767097,0.95872,0.97977,0.03558328869203686
16,16,SL,6,1,5,transformer,Small,LA,49991,45767,4233,9,0.99982,0.91534,0.5220555984878548,0.685945196833107,0.54224,0.60194,0.4449070148380605
16,16,SL,6,1,5,transformer,Small,SR,50000,37,49963,0,1.0,0.00074,0.9992605471950756,0.9996301368493657,0.99963,0.99978,0.00034499948009530565
16,16,SL,6,1,5,transformer,Small,SA,50000,46284,3716,0,1.0,0.92568,0.519297079473225,0.6836017609581362,0.53716,0.5931,0.452880618932684
16,16,SL,6,1,5,transformer,Small,LR,49985,415,49585,15,0.9997,0.0083,0.991765873015873,0.9957171314741036,0.9957,0.99844,0.0036558494405324765
16,07,TPLT,2,2,8,simple,Mid,LA,49505,27328,22672,495,0.9901,0.54656,0.6443194981323129,0.7806328006118282,0.72177,0.71155,0.22236488876377963
16,07,TPLT,2,2,8,simple,Mid,SR,49887,6130,43870,113,0.99774,0.1226,0.8905689344306192,0.9411132176915024,0.93757,0.9483,0.055082534015994424
16,07,TPLT,2,2,8,simple,Mid,SA,49772,29073,20927,228,0.99544,0.58146,0.6312638721542266,0.77258721719896,0.70699,0.69848,0.23503580496325943
16,07,TPLT,2,2,8,simple,Mid,LR,49804,5041,44959,196,0.99608,0.10082,0.9080864253806181,0.9500500739186418,0.94763,0.95567,0.047512991589243436
16,04,TSL,4,1,8,lstm,Small,LA,49964,35058,14942,36,0.99928,0.70116,0.5876596645574087,0.7400868006695205,0.64906,0.83182,0.3048247707507545
16,04,TSL,4,1,8,lstm,Small,SR,49942,1913,48087,58,0.99884,0.03826,0.9631086684022756,0.9806489617593638,0.98029,0.99261,0.016543598173649417
16,04,TSL,4,1,8,lstm,Small,SA,49936,27847,22153,64,0.99872,0.55694,0.6419911805921602,0.7815750138907367,0.72089,0.85475,0.2454582519228845
16,04,TSL,4,1,8,lstm,Small,LR,49966,3053,46947,34,0.99932,0.06106,0.9424168694241687,0.9700346538017259,0.96913,0.99111,0.024525660873021635
04,03,TLT,2,1,8,simple,Large,LA,49999,1349,48651,1,0.99998,0.02698,0.9737282854249435,0.9866795595374354,0.9865,0.99473,0.012316731888974084
04,03,TLT,2,1,8,simple,Large,SR,49997,626,49374,3,0.99994,0.01252,0.9876340793710369,0.9937489440783916,0.99371,0.99817,0.005866567261639473
04,03,TLT,2,1,8,simple,Large,SA,49997,4994,45006,3,0.99994,0.09988,0.9091851393864451,0.952405444276176,0.95003,0.98111,0.04568484855372397
04,03,TLT,2,1,8,simple,Large,LR,49997,539,49461,3,0.99994,0.01078,0.9893343359189488,0.9946088963157476,0.99458,0.99875,0.004355173160651155
64,11,TSL,4,1,4,transformer,Mid,LA,46576,33638,16362,3424,0.93152,0.67276,0.5806467698905428,0.7153762268266085,0.62938,0.68063,0.3340860676177161
64,11,TSL,4,1,4,transformer,Mid,SR,49989,376,49624,11,0.99978,0.00752,0.9925344981634071,0.9961440741294276,0.99613,0.99793,0.0034773428696942585
64,11,TSL,4,1,4,transformer,Mid,SA,49996,36096,13904,4,0.99992,0.72192,0.5807275937369326,0.7347382652911266,0.639,0.69654,0.34721253629464116
64,11,TSL,4,1,4,transformer,Mid,LR,45741,626,49374,4259,0.91482,0.01252,0.9864990186986434,0.949308373198294,0.95115,0.99191,0.03346997349132813
64,11,TLT,2,1,1,simple,Small,LA,22598,2752,47248,27402,0.45196,0.05504,0.891439842209073,0.599814200398142,0.69846,0.77098,0.26343483541023144
64,11,TLT,2,1,1,simple,Small,SR,47891,96,49904,2109,0.95782,0.00192,0.9979994581865922,0.9774970149101412,0.97795,0.98389,0.020638636921475127
64,11,TLT,2,1,1,simple,Small,SA,35391,125,49875,14609,0.70782,0.0025,0.9964804595112062,0.8277047570045372,0.85266,0.86648,0.14047673431424118
64,11,TLT,2,1,1,simple,Small,LR,41603,2525,47475,8397,0.83206,0.0505,0.942780094271211,0.8839665136834948,0.89078,0.9454,0.08984359305521954
64,64,PLT,6,3,9,transformer,Mid,LA,49881,0,50000,119,0.99762,0.0,1.0,0.9988085822128333,0.99881,0.99999,0.0008589120233063323
64,64,PLT,6,3,9,transformer,Mid,SR,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,3.7688327213027153e-13
64,64,PLT,6,3,9,transformer,Mid,SA,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,3.8038253015214093e-13
64,64,PLT,6,3,9,transformer,Mid,LR,49912,0,50000,88,0.99824,0.0,1.0,0.9991192249179278,0.99912,1.0,0.0007188964827410823
16,07,TSL,2,1,2,gru,Large,LA,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,4.3033126440230894e-27
16,07,TSL,2,1,2,gru,Large,SR,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,4.3499918792531795e-27
16,07,TSL,2,1,2,gru,Large,SA,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,4.345257929283149e-27
16,07,TSL,2,1,2,gru,Large,LR,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,4.3173413011211135e-27
16,16,PLT,4,2,2,simple,Large,LA,43669,35741,14259,6331,0.87338,0.71482,0.5499181463291777,0.6748937485511166,0.57928,0.60233,0.40339962986031225
16,16,PLT,4,2,2,simple,Large,SR,50000,13,49987,0,1.0,0.00026,0.9997400675824286,0.9998700168978033,0.99987,0.99991,0.00011890289793692893
16,16,PLT,4,2,2,simple,Large,SA,50000,5410,44590,0,1.0,0.1082,0.9023641941887746,0.9486765961483731,0.9459,0.95007,0.0529881675070096
