alph,tier,class,k,j,i,network_type,train_set_size,test_type,tp,fp,tn,fn,tpr,fpr,precision,fscore,accuracy,auc,brier
04,03,TLTT,4,2,5,gru,Mid,LA,49999,5345,44655,1,0.99998,0.1069,0.9034222318589188,0.9492519744835966,0.94654,0.94794,0.05311611973589229
04,03,TLTT,4,2,5,gru,Mid,SR,50000,24,49976,0,1.0,0.00048,0.999520230289461,0.9997600575861794,0.99976,0.99978,0.0002362730475193652
04,03,TLTT,4,2,5,gru,Mid,SA,50000,4466,45534,0,1.0,0.08932,0.9180038923365035,0.9572492485593399,0.95534,0.95672,0.0443973509660418
04,03,TLTT,4,2,5,gru,Mid,LR,49999,50,49950,1,0.99998,0.001,0.9990009790405403,0.9994902497776089,0.99949,0.99952,0.0005055766029407236
04,03,TPLT,6,3,7,transformer,Large,LA,28312,16208,33792,21688,0.56624,0.32416,0.6359389038634322,0.5990689801100296,0.62104,0.6555,0.3330987465741906
04,03,TPLT,6,3,7,transformer,Large,SR,49494,1055,48945,506,0.98988,0.0211,0.9791291618033987,0.9844752309819094,0.98439,0.99664,0.012603287134292457
04,03,TPLT,6,3,7,transformer,Large,SA,49421,22394,27606,579,0.98842,0.44788,0.6881709949174963,0.811410745803062,0.77027,0.88264,0.19827099275361362
04,03,TPLT,6,3,7,transformer,Large,LR,29281,2486,47514,20719,0.58562,0.04972,0.921742688953946,0.7162058042975773,0.76795,0.82986,0.2102008347409263
64,06,TLT,2,1,8,transformer,Large,LA,27659,5596,44404,22341,0.55318,0.11192,0.8317245526988423,0.6644405741396913,0.72063,0.74007,0.26927305480851405
64,06,TLT,2,1,8,transformer,Large,SR,49924,89,49911,76,0.99848,0.00178,0.9982204626797033,0.9983502144721186,0.99835,0.99964,0.0013159987975596454
64,06,TLT,2,1,8,transformer,Large,SA,49901,1188,48812,99,0.99802,0.02376,0.9767464620564114,0.9872686444618108,0.98713,0.99531,0.01093035569617635
64,06,TLT,2,1,8,transformer,Large,LR,30783,1600,48400,19217,0.61566,0.032,0.9505913596640212,0.7473143731109574,0.79183,0.81552,0.20133794068093488
04,04,LT,2,1,6,gru,Mid,LA,49999,0,50000,1,0.99998,0.0,1.0,0.999989999899999,0.99999,0.99999,9.99981514754904e-06
04,04,LT,2,1,6,gru,Mid,SR,49999,0,50000,1,0.99998,0.0,1.0,0.999989999899999,0.99999,0.99999,9.999999995696469e-06
04,04,LT,2,1,6,gru,Mid,SA,49993,0,50000,7,0.99986,0.0,1.0,0.999929995099657,0.99993,0.99994,6.923655689639743e-05
04,04,LT,2,1,6,gru,Mid,LR,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,3.876671743098985e-31
64,64,SL,2,1,8,transformer,Small,LA,44520,682,49318,5480,0.8904,0.01364,0.9849121720277864,0.93527446902376,0.93838,0.99001,0.04814652012854643
64,64,SL,2,1,8,transformer,Small,SR,50000,9,49991,0,1.0,0.00018,0.9998200323941691,0.9999100080992711,0.99991,0.99991,9.00013066529665e-05
64,64,SL,2,1,8,transformer,Small,SA,50000,787,49213,0,1.0,0.01574,0.9845039084805167,0.9921914532628215,0.99213,0.99213,0.007869890805201672
64,64,SL,2,1,8,transformer,Small,LR,44475,13,49987,5525,0.8895,0.00026,0.999707786369358,0.9413893827787656,0.94462,0.9977,0.04169530660073065
04,04,SP,2,1,0,simple,Large,LA,40454,42884,7116,9546,0.80908,0.85768,0.4854208164342797,0.6067887623933162,0.4757,0.47564,0.4843335372276242
04,04,SP,2,1,0,simple,Large,SR,50000,25,49975,0,1.0,0.0005,0.9995002498750625,0.9997500624843789,0.99975,0.99985,0.00021896752202954972
04,04,SP,2,1,0,simple,Large,SA,50000,39522,10478,0,1.0,0.79044,0.5585219275708765,0.716732844999355,0.60478,0.67861,0.3783732453687315
04,04,SP,2,1,0,simple,Large,LR,40445,33981,16019,9555,0.8089,0.67962,0.5434256845725955,0.650105283461656,0.56464,0.59069,0.3939939251530326
16,16,coSP,4,1,1,lstm,Mid,LA,44641,20585,29415,5359,0.89282,0.4117,0.684404991874406,0.774842483467273,0.74056,0.8432,0.18046941910708897
16,16,coSP,4,1,1,lstm,Mid,SR,48687,4175,45825,1313,0.97374,0.0835,0.9210207710642806,0.9466469638933717,0.94512,0.98085,0.0431058194930758
16,16,coSP,4,1,1,lstm,Mid,SA,47982,10715,39285,2018,0.95964,0.2143,0.8174523399833041,0.8828578525626283,0.87267,0.93273,0.10036406078852857
16,16,coSP,4,1,1,lstm,Mid,LR,46998,13921,36079,3002,0.93996,0.27842,0.771483445230552,0.8474292050956103,0.83077,0.93732,0.11597054225250072
64,64,LTT,6,2,8,simple,Mid,LA,50000,49530,470,0,1.0,0.9906,0.5023610971566362,0.6687621213134488,0.5047,0.51103,0.49417214208075294
64,64,LTT,6,2,8,simple,Mid,SR,50000,0,50000,0,1.0,0.0,1.0,1.0,1.0,1.0,2.6608991476948346e-07
64,64,LTT,6,2,8,simple,Mid,SA,50000,49955,45,0,1.0,0.9991,0.5002251012955831,0.6668667266846721,0.50045,0.5011,0.49942931322898454
64,64,LTT,6,2,8,simple,Mid,LR,50000,1,49999,0,1.0,2e-05,0.999980000399992,0.999990000099999,0.99999,0.99999,1.0791771822877232e-05
64,64,coSL,4,1,3,gru,Small,LA,50000,20983,29017,0,1.0,0.41966,0.7043940098333403,0.8265624095947365,0.79017,0.79573,0.2085916179413659
64,64,coSL,4,1,3,gru,Small,SR,50000,571,49429,0,1.0,0.01142,0.9887089438611062,0.9943224189875809,0.99429,0.99448,0.00565104973610471
64,64,coSL,4,1,3,gru,Small,SA,50000,22480,27520,0,1.0,0.4496,0.6898454746136865,0.8164598301763554,0.7752,0.78073,0.22355098590060257
64,64,coSL,4,1,3,gru,Small,LR,50000,856,49144,0,1.0,0.01712,0.9831681610822716,0.9915126517014358,0.99144,0.99181,0.008484448948671775
64,06,TLTT,6,2,2,simple,Small,LA,6826,2857,47143,43174,0.13652,0.05714,0.7049468140039244,0.22874185278890136,0.53969,0.55885,0.4457466551640422
64,06,TLTT,6,2,2,simple,Small,SR,49747,1,49999,253,0.99494,2e-05,0.9999798986893945,0.9974535830292337,0.99746,0.99846,0.0023331783534862338
64,06,TLTT,6,2,2,simple,Small,SA,77,1,49999,49923,0.00154,2e-05,0.9871794871794872,0.0030752026838132512,0.50076,0.50282,0.4987657510357156
64,06,TLTT,6,2,2,simple,Small,LR,49652,2693,47307,348,0.99304,0.05386,0.9485528703792149,0.9702867751233573,0.96959,0.98951,0.02580305214091587
04,04,coSP,2,1,0,lstm,Small,LA,1814,1190,48810,48186,0.03628,0.0238,0.6038615179760319,0.06844766432722059,0.50624,0.53306,0.475996030261007
04,04,coSP,2,1,0,lstm,Small,SR,49750,1040,48960,250,0.995,0.0208,0.9795235282535932,0.9872011112213513,0.9871,0.9986,0.010526742246670422
04,04,coSP,2,1,0,lstm,Small,SA,5585,1072,48928,44415,0.1117,0.02144,0.8389665014270693,0.19715127874755106,0.54513,0.63691,0.40762631169346775
04,04,coSP,2,1,0,lstm,Small,LR,44229,1243,48757,5771,0.88458,0.02486,0.9726644968332161,0.9265334338863751,0.92986,0.98585,0.05399489070371684
04,04,coSL,4,1,6,gru,Small,LA,38769,0,50000,11231,0.77538,0.0,1.0,0.8734806069686489,0.88769,0.88769,0.10977836133938719
04,04,coSL,4,1,6,gru,Small,SR,49911,0,50000,89,0.99822,0.0,1.0,0.999109207194403,0.99911,0.99912,0.0009363690337215313
04,04,coSL,4,1,6,gru,Small,SA,43045,0,50000,6955,0.8609,0.0,1.0,0.9252512225267344,0.93045,0.93045,0.06800903594044856
04,04,coSL,4,1,6,gru,Small,LR,49869,0,50000,131,0.99738,0.0,1.0,0.9986882816489602,0.99869,0.99869,0.0013474301682479802
64,64,coSP,4,1,7,transformer,Small,LA,40176,21081,28919,9824,0.80352,0.42162,0.6558597384788677,0.7222197255004179,0.69095,0.74579,0.272020034073836
64,64,coSP,4,1,7,transformer,Small,SR,49735,2824,47176,265,0.9947,0.05648,0.9462699062006507,0.9698807515673905,0.96911,0.98376,0.027382377902813473
64,64,coSP,4,1,7,transformer,Small,SA,49601,38997,11003,399,0.99202,0.77994,0.5598433373213842,0.715753474076105,0.60604,0.70276,0.37140694134822755
